"country","type","title","release_year","listed_in","description"
"United Kingdom","TV Show","Little Baby Bum: Nursery Rhyme Friends",2019,"British TV Shows","Twinkle, Mia, Jacus and the rest of the Nursery Rhyme Friends perform catchy tunes for the little ones."
"United Kingdom","TV Show","Little Baby Bum: Nursery Rhyme Friends",2019,"Kids' TV","Twinkle, Mia, Jacus and the rest of the Nursery Rhyme Friends perform catchy tunes for the little ones."
"United Kingdom","Movie","The Last Shaman",2016,"Documentaries","In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual."
"United Kingdom","Movie","The Last Shaman",2016,"International Movies","In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual."
"United Kingdom","TV Show","Horror Homes",2016,"British TV Shows","Dream homes turn into property nightmares when mold, maggots, natural disasters and other inconveniences move in."
"United Kingdom","TV Show","Horror Homes",2016,"Docuseries","Dream homes turn into property nightmares when mold, maggots, natural disasters and other inconveniences move in."
"United Kingdom","TV Show","Horror Homes",2016,"International TV Shows","Dream homes turn into property nightmares when mold, maggots, natural disasters and other inconveniences move in."
"United Kingdom","TV Show","Danger Mouse",2016,"British TV Shows","The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry."
"United Kingdom","TV Show","Danger Mouse",2016,"Kids' TV","The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry."
"United Kingdom","Movie","Thorne: Scaredy Cat",2010,"Dramas","Heading a new team whose aim is to crack the cases that leave others stumped, detective Tom Thorne finds himself on the hunt for two serial killers."
"United Kingdom","Movie","Thorne: Scaredy Cat",2010,"International Movies","Heading a new team whose aim is to crack the cases that leave others stumped, detective Tom Thorne finds himself on the hunt for two serial killers."
"United Kingdom","TV Show","World War II in Colour",2009,"British TV Shows","Footage of the most dramatic moments from World War II is restored in color and high definition for this historical documentary series."
"United Kingdom","TV Show","World War II in Colour",2009,"Docuseries","Footage of the most dramatic moments from World War II is restored in color and high definition for this historical documentary series."
"United Kingdom","TV Show","World War II in Colour",2009,"International TV Shows","Footage of the most dramatic moments from World War II is restored in color and high definition for this historical documentary series."
"United Kingdom","Movie","Michael McIntyre: Showman",2020,"Stand-Up Comedy","Charming comic Michael McIntyre talks family, technology, sharks, accents and the time he confused himself for a world leader in this stand-up special."
"United Kingdom","TV Show","World's Busiest Cities",2017,"British TV Shows","From Moscow to Mexico City, three BBC journalists delve into the inner workings of some of the most burgeoning metropolises on Earth."
"United Kingdom","TV Show","World's Busiest Cities",2017,"Docuseries","From Moscow to Mexico City, three BBC journalists delve into the inner workings of some of the most burgeoning metropolises on Earth."
"United Kingdom","Movie","Thorne: Sleepyhead",2010,"Dramas","Investigating a series of attacks on young women, detective Tom Thorne is dragged back into the nightmares of his past as he races to find a killer."
"United Kingdom","Movie","Thorne: Sleepyhead",2010,"International Movies","Investigating a series of attacks on young women, detective Tom Thorne is dragged back into the nightmares of his past as he races to find a killer."
"United Kingdom","TV Show","Tales of the City (1993)",1993,"TV Dramas","In 1976, naive Mary Ann Singleton moves to San Francisco and finds a new family in her bohemian landlady and the eclectic residents at 28 Barbary Lane."
"United Kingdom","Movie","The Trip to Spain",2016,"Comedies","Comedians Steve Coogan and Rob Brydon gorge on local delicacies and celebrity impressions as they reunite for a hilarious road trip through Spain."
"United Kingdom","Movie","Una",2016,"Dramas","A young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier."
"United Kingdom","Movie","Una",2016,"International Movies","A young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier."
"United Kingdom","Movie","Virunga",2014,"Documentaries","The Oscar-nominated true story of the rangers risking their lives to save Africa's most precious national park and its endangered gorillas."
"United Kingdom","Movie","Virunga",2014,"International Movies","The Oscar-nominated true story of the rangers risking their lives to save Africa's most precious national park and its endangered gorillas."
"United Kingdom","Movie","Christine",2016,"Dramas","In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories."
"United Kingdom","Movie","Christine",2016,"Independent Movies","In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories."
"United Kingdom","Movie","Simon Amstell: Set Free",2019,"Stand-Up Comedy","Honest, introspective comic Simon Amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca."
"United Kingdom","Movie","Loving",2016,"Dramas","A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving."
"United Kingdom","Movie","Loving",2016,"Romantic Movies","A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving."
"United Kingdom","TV Show","The Letter for the King",2020,"British TV Shows","A young knight in training contends with ancient prophecies, magical powers and fickle companions as he sets out on an epic quest to save his kingdom."
"United Kingdom","TV Show","The Letter for the King",2020,"International TV Shows","A young knight in training contends with ancient prophecies, magical powers and fickle companions as he sets out on an epic quest to save his kingdom."
"United Kingdom","TV Show","The Letter for the King",2020,"TV Action & Adventure","A young knight in training contends with ancient prophecies, magical powers and fickle companions as he sets out on an epic quest to save his kingdom."
"United Kingdom","TV Show","The Fear",2012,"British TV Shows","Richie Beckett is an aging Brighton crime boss who's struggling with the onset of dementia, just as a rival gang is trying to take over his territory."
"United Kingdom","TV Show","The Fear",2012,"Crime TV Shows","Richie Beckett is an aging Brighton crime boss who's struggling with the onset of dementia, just as a rival gang is trying to take over his territory."
