"country","type","title","release_year","listed_in","description"
"United Kingdom","Movie","The Meaning of Monty Python",2013,"Documentaries","Five Pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""The Meaning of Life."""
"United Kingdom","Movie","Real Crime: Supermarket Heist (Tesco Bomber)",2010,"Documentaries","In 2000, U.K. detectives spent months tracking a criminal known only as Sally, who was targeting a supermarket chain with extortion and letter bombs."
"United Kingdom","Movie","Tomorrow Never Dies",1997,"Action & Adventure","Pierce Brosnan stars in this 007 installment, which teams the secret agent and a sexy Chinese superspy against a megalomaniacal media mogul."
"United Kingdom","TV Show","The Great British Baking Show: Holidays",2020,"British TV Shows","Deck the halls with sugar, butter and chocolate as competitors from past seasons bake sweet Yuletide treats for judges Paul Hollywood and Prue Leith."
"United Kingdom","TV Show","The Great British Baking Show: Holidays",2020,"Reality TV","Deck the halls with sugar, butter and chocolate as competitors from past seasons bake sweet Yuletide treats for judges Paul Hollywood and Prue Leith."
"United Kingdom","Movie","Event Horizon",1997,"Horror Movies","After a signal is received from a long-missing spaceship, a rescue ship investigates, but the crew soon realizes something unimaginable has happened."
"United Kingdom","Movie","Event Horizon",1997,"Sci-Fi & Fantasy","After a signal is received from a long-missing spaceship, a rescue ship investigates, but the crew soon realizes something unimaginable has happened."
"United Kingdom","TV Show","The Great British Baking Show: The Beginnings",2012,"British TV Shows","A dozen amateur bakers amiably compete for the coveted title of Britain's best as they whip up tasty treats for judges Mary Berry and Paul Hollywood."
"United Kingdom","TV Show","The Great British Baking Show: The Beginnings",2012,"Reality TV","A dozen amateur bakers amiably compete for the coveted title of Britain's best as they whip up tasty treats for judges Mary Berry and Paul Hollywood."
"United Kingdom","TV Show","Paul Hollywood's Big Continental Road Trip",2017,"British TV Shows","Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
"United Kingdom","TV Show","Paul Hollywood's Big Continental Road Trip",2017,"Docuseries","Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
